State Name,County Name,State Date,AQI,Category
Tennessee,Davidson,2017-08-10,62,Moderate
Tennessee,Davidson,2017-08-11,54,Moderate
Tennessee,Davidson,2017-08-12,45,Good
Tennessee,Davidson,2017-08-13,49,Good
Tennessee,Davidson,2017-08-14,45,Good
Tennessee,Davidson,2017-08-15,33,Good
Tennessee,Davidson,2017-08-16,33,Good
Tennessee,Davidson,2017-08-17,44,Good
Tennessee,Davidson,2017-08-18,52,Moderate
Tennessee,Davidson,2017-08-19,71,Moderate
Tennessee,Davidson,2017-08-20,58,Moderate
Tennessee,Davidson,2017-08-21,57,Moderate
Tennessee,Davidson,2017-08-22,52,Moderate
Tennessee,Davidson,2017-08-23,42,Good
Tennessee,Davidson,2017-08-24,48,Good
Tennessee,Davidson,2017-08-25,44,Good
Tennessee,Davidson,2017-08-26,45,Good
Tennessee,Davidson,2017-08-27,71,Moderate
Tennessee,Davidson,2017-08-28,56,Moderate
Tennessee,Davidson,2017-08-29,50,Good
Tennessee,Davidson,2017-08-30,49,Good
Tennessee,Davidson,2017-08-31,22,Good
Tennessee,Davidson,2017-09-01,25,Good
Tennessee,Davidson,2017-09-02,54,Moderate
Tennessee,Davidson,2017-09-03,59,Moderate
Tennessee,Davidson,2017-09-04,55,Moderate
Tennessee,Davidson,2017-09-05,57,Moderate
Tennessee,Davidson,2017-09-06,49,Good
Tennessee,Davidson,2017-09-07,48,Good
Tennessee,Davidson,2017-09-08,45,Good
Tennessee,Davidson,2017-09-09,45,Good
Tennessee,Davidson,2017-09-10,40,Good
Tennessee,Davidson,2017-09-11,21,Good
Tennessee,Davidson,2017-09-12,19,Good
Tennessee,Davidson,2017-09-13,20,Good
Tennessee,Davidson,2017-09-14,52,Moderate
Tennessee,Davidson,2017-09-15,53,Moderate
Tennessee,Davidson,2017-09-16,60,Moderate
Tennessee,Davidson,2017-09-17,59,Moderate
Tennessee,Davidson,2017-09-18,56,Moderate
Tennessee,Davidson,2017-09-19,50,Good
Tennessee,Davidson,2017-09-20,55,Moderate
Tennessee,Davidson,2017-09-21,61,Moderate
Tennessee,Davidson,2017-09-22,52,Moderate
Tennessee,Davidson,2017-09-23,55,Moderate
Tennessee,Davidson,2017-09-24,58,Moderate
Tennessee,Davidson,2017-09-25,61,Moderate
Tennessee,Davidson,2017-09-26,51,Moderate
Tennessee,Davidson,2017-09-27,50,Good
Tennessee,Davidson,2017-09-28,39,Good
Tennessee,Davidson,2017-09-29,43,Good
Tennessee,Davidson,2017-09-30,39,Good
Tennessee,Davidson,2017-10-01,43,Good
Tennessee,Davidson,2017-10-02,40,Good
Tennessee,Davidson,2017-10-03,43,Good
Tennessee,Davidson,2017-10-04,47,Good
Tennessee,Davidson,2017-10-05,67,Moderate
Tennessee,Davidson,2017-10-06,49,Good
Tennessee,Davidson,2017-10-07,36,Good
Tennessee,Davidson,2017-10-08,18,Good
Tennessee,Davidson,2017-10-09,31,Good
Tennessee,Davidson,2017-10-10,51,Moderate
Tennessee,Davidson,2017-10-11,35,Good
Tennessee,Davidson,2017-10-12,23,Good
Tennessee,Davidson,2017-10-13,47,Good
Tennessee,Davidson,2017-10-14,51,Moderate
Tennessee,Davidson,2017-10-15,28,Good
Tennessee,Davidson,2017-10-16,32,Good
Tennessee,Davidson,2017-10-17,33,Good
Tennessee,Davidson,2017-10-18,54,Moderate
Tennessee,Davidson,2017-10-19,54,Moderate
Tennessee,Davidson,2017-10-20,57,Moderate
Tennessee,Davidson,2017-10-21,47,Good
Tennessee,Davidson,2017-10-22,33,Good
Tennessee,Davidson,2017-10-23,25,Good
Tennessee,Davidson,2017-10-24,31,Good
Tennessee,Davidson,2017-10-25,35,Good
Tennessee,Davidson,2017-10-26,41,Good
Tennessee,Davidson,2017-10-27,43,Good
Tennessee,Davidson,2017-10-28,23,Good
Tennessee,Davidson,2017-10-29,35,Good
Tennessee,Davidson,2017-10-30,41,Good
Tennessee,Davidson,2017-10-31,48,Good
Tennessee,Davidson,2017-11-01,43,Good
Tennessee,Davidson,2017-11-02,53,Moderate
Tennessee,Davidson,2017-11-03,42,Good
Tennessee,Davidson,2017-11-04,51,Moderate
Tennessee,Davidson,2017-11-05,42,Good
Tennessee,Davidson,2017-11-06,28,Good
Tennessee,Davidson,2017-11-07,15,Good
Tennessee,Davidson,2017-11-08,28,Good
Tennessee,Davidson,2017-11-09,35,Good
Tennessee,Davidson,2017-11-10,35,Good
Tennessee,Davidson,2017-11-11,48,Good
Tennessee,Davidson,2017-11-12,56,Moderate
Tennessee,Davidson,2017-11-13,51,Moderate
Tennessee,Davidson,2017-11-14,52,Moderate
Tennessee,Davidson,2017-11-15,65,Moderate
Tennessee,Davidson,2017-11-16,54,Moderate
Tennessee,Davidson,2017-11-17,46,Good
Tennessee,Davidson,2017-11-18,43,Good
Tennessee,Davidson,2017-11-19,34,Good
Tennessee,Davidson,2017-11-20,60,Moderate
Tennessee,Davidson,2017-11-21,60,Moderate
Tennessee,Davidson,2017-11-22,56,Moderate
Tennessee,Davidson,2017-11-23,62,Moderate
Tennessee,Davidson,2017-11-24,62,Moderate
Tennessee,Davidson,2017-11-25,37,Good
Tennessee,Davidson,2017-11-26,44,Good
Tennessee,Davidson,2017-11-27,59,Moderate
Tennessee,Davidson,2017-11-28,72,Moderate
Tennessee,Davidson,2017-11-29,74,Moderate
Tennessee,Davidson,2017-11-30,72,Moderate
Tennessee,Davidson,2017-12-01,53,Moderate
Tennessee,Davidson,2017-12-02,64,Moderate
Tennessee,Davidson,2017-12-03,80,Moderate
Tennessee,Davidson,2017-12-04,59,Moderate
Tennessee,Davidson,2017-12-05,29,Good
Tennessee,Davidson,2017-12-06,41,Good
Tennessee,Davidson,2017-12-07,47,Good
Tennessee,Davidson,2017-12-08,44,Good
Tennessee,Davidson,2017-12-09,51,Moderate
Tennessee,Davidson,2017-12-10,29,Good
Tennessee,Davidson,2017-12-11,56,Moderate
Tennessee,Davidson,2017-12-12,32,Good
Tennessee,Davidson,2017-12-13,52,Moderate
Tennessee,Davidson,2017-12-14,49,Good
Tennessee,Davidson,2017-12-15,56,Moderate
Tennessee,Davidson,2017-12-16,44,Good
Tennessee,Davidson,2017-12-17,62,Moderate
Tennessee,Davidson,2017-12-18,30,Good
Tennessee,Davidson,2017-12-19,35,Good
Tennessee,Davidson,2017-12-20,29,Good
Tennessee,Davidson,2017-12-21,35,Good
Tennessee,Davidson,2017-12-22,27,Good
Tennessee,Davidson,2017-12-23,25,Good
Tennessee,Davidson,2017-12-24,43,Good
Tennessee,Davidson,2017-12-25,23,Good
Tennessee,Davidson,2017-12-26,25,Good
Tennessee,Davidson,2017-12-27,25,Good
Tennessee,Davidson,2017-12-28,35,Good
Tennessee,Davidson,2017-12-29,50,Good
Tennessee,Davidson,2017-12-30,59,Moderate
Tennessee,Davidson,2017-12-31,28,Good
